activity_id,user_id,competition_id,activity_timestamp,activity_type,session_duration
1,1,6,2025-10-07 19:00:00,signup,0
2,1,6,2025-10-09 09:00:00,start_interview,0
3,1,6,2025-10-09 09:50:49,complete_interview,3049
4,1,6,2025-10-09 10:10:50,view_feedback,659
5,1,8,2025-10-21 02:00:00,signup,0
6,1,8,2025-10-23 04:00:00,start_interview,0
7,1,9,2025-10-27 06:00:00,signup,0
8,1,9,2025-10-29 07:00:00,start_interview,0
9,1,9,2025-10-29 07:43:06,complete_interview,2586
10,1,9,2025-10-29 08:02:45,view_feedback,622
11,2,2,2025-09-09 18:00:00,signup,0
12,2,3,2025-09-16 14:00:00,signup,0
13,2,3,2025-09-18 23:00:00,start_interview,0
14,2,3,2025-09-18 23:52:03,complete_interview,3123
15,2,3,2025-09-19 00:05:13,view_feedback,806
16,2,6,2025-10-06 00:00:00,signup,0
17,2,8,2025-10-21 12:00:00,signup,0
18,2,8,2025-10-23 10:00:00,start_interview,0
19,2,12,2025-11-17 04:00:00,signup,0
20,2,12,2025-11-19 13:00:00,start_interview,0
21,2,12,2025-11-19 13:32:03,complete_interview,1923
22,3,1,2025-09-02 01:00:00,signup,0
23,3,1,2025-09-04 10:00:00,start_interview,0
24,3,1,2025-09-04 10:35:12,complete_interview,2112
25,3,1,2025-09-04 10:50:46,view_feedback,380
26,3,2,2025-09-08 09:00:00,signup,0
27,3,2,2025-09-11 01:00:00,start_interview,0
28,3,2,2025-09-11 01:56:03,complete_interview,3363
29,3,2,2025-09-11 02:24:17,view_feedback,367
30,3,2,2025-09-11 02:40:58,share_result,246
31,3,4,2025-09-22 15:00:00,signup,0
32,3,4,2025-09-25 03:00:00,start_interview,0
33,3,4,2025-09-25 03:50:53,complete_interview,3053
34,3,4,2025-09-25 04:06:26,view_feedback,479
35,3,4,2025-09-25 04:45:02,share_result,95
36,3,6,2025-10-06 22:00:00,signup,0
37,3,6,2025-10-09 22:00:00,start_interview,0
38,3,6,2025-10-09 22:42:41,complete_interview,2561
39,3,6,2025-10-09 22:56:51,view_feedback,420
40,3,7,2025-10-14 03:00:00,signup,0
41,3,7,2025-10-15 04:00:00,start_interview,0
42,3,7,2025-10-15 04:49:40,complete_interview,2980
43,3,7,2025-10-15 05:11:36,view_feedback,766
44,3,8,2025-10-21 12:00:00,signup,0
45,3,8,2025-10-22 10:00:00,start_interview,0
46,3,8,2025-10-22 10:33:30,complete_interview,2010
47,3,10,2025-11-04 23:00:00,signup,0
48,3,10,2025-11-05 02:00:00,start_interview,0
49,3,11,2025-11-10 02:00:00,signup,0
50,3,11,2025-11-13 00:00:00,start_interview,0
51,3,12,2025-11-17 02:00:00,signup,0
52,3,12,2025-11-20 21:00:00,start_interview,0
